Type,Name,Count
Genre,House,127
Genre,Tech House,229
Genre,Techno (Peak Time / Driving),99
Genre,Melodic House & Techno,132
Genre,Drum & Bass,104
Genre,Deep House,43
Genre,Electronica,6
Genre,Funky House,74
Genre,Progressive House,34
Genre,Dance / Electro Pop,73
Genre,Trance (Main Floor),26
Genre,Nu Disco / Disco,26
Genre,Electro House,1
Genre,Afro House,22
Genre,Organic House / Downtempo,18
Genre,Indie Dance,8
Genre,Minimal / Deep Tech,18
Genre,Bass House,15
Genre,Techno (Raw / Deep / Hypnotic),1
Genre,Future House,1
Genre,Big Room,3
Genre,Breaks / Breakbeat / UK Bass,2

Label,Defected,25
Label,Sink or Swim,16
Label,MUSE,4
Label,Glasgow Underground,24
Label,Sola,9
Label,Pryda Presents,10
Label,FFRR,8
Label,Anjunadeep,15
Label,NINL,2
Label,Perfekt Groove Recordings,3
Label,Overview Music,6
Label,REALM Records,5
Label,Last Night On Earth [UK],1
Label,Recovery Collective,8
Label,Terminal M,7
Label,PornoStar Records,21
Label,Critical Music,8
Label,Hottrax,1
Label,Toolroom,21
Label,D4 D4NCE,3
Label,Armada Music,9
Label,Parlophone (France),4
Label,Keinemusik,8
Label,La Luna Records,5
Label,HouseU,2
Label,Hi Resolution,3
Label,Reload Records,2
Label,Black Book Records,15
Label,Omerta,4
Label,METAPHYSICAL,3
Label,Medium Rare Recordings,2
Label,Higher Ground (Mad Decent),7
Label,1605,8
Label,Hot Fuss,1
Label,A state of Trance,5
Label,Drumcode,14
Label,Smilax Records,1
Label,Tasty Recordings,6
Label,RCA Records Label,2
Label,23rd Century ME,1
Label,Tribal Kitchen,1
Label,Siamese,3
Label,Tactical Records,8
Label,Einmusika Recordings,1
Label,Atlantic Records,8
Label,Uber Fit Records,1
Label,Arcane Music,6
Label,Oddity Records,1
Label,Catch & Release,11
Label,Sweat It Out,9
Label,Next-Gen-Records,2
Label,Domino,1
Label,Must Make Music,1
Label,Superfriends Records,1
Label,UNLEASHED,2
Label,SP Recordings,2
Label,All Day I Dream,5
Label,Ministry of Sound Recordings,23
Label,Cuttin' Headz,2
Label,RADIANT.,3
Label,Ninja Tune,1
Label,Perspectives Digital,1
Label,Force Of Habit,1
Label,Watergate Records,2
Label,Dimension,1
Label,SPINNIN' DEEP,4
Label,AVOTRE,1
Label,Classic Music Company,2
Label,Abracadabra Music,2
Label,Relief,1
Label,Different,1
Label,Playaz,6
Label,Deepalma,1
Label,House Call,1
Label,Odd One Out,2
Label,Nothing Else Matters,1
Label,Vision Recordings,1
Label,Big Beat Records,5
Label,Repopulate Mars,20
Label,Souped Up Records,8
Label,Metalheadz,2
Label,Anjunabeats,5
Label,Afterlife Records,12
Label,Virgin,4
Label,Ultra,20
Label,Stil Vor Talent,3
Label,NO ART,2
Label,Public Possession,1
Label,Deeperfect,2
Label,Outta Limits,1
Label,Techne,9
Label,VII,2
Label,SOLOTOKO,5
Label,Set About,2
Label,Rekids,1
Label,Autektone Records,3
Label,RUN,1
Label,Xploded Music Limited,1
Label,VANDIT Records,2
Label,Musical Freedom,6
Label,T-Minus Records,1
Label,Stashed,1
Label,Hospital Records,7
Label,EMI,7
Label,Positiva,6
Label,Phobiq,1
Label,Still Hot,1
Label,Area Verde,1
Label,Superfett Records,3
Label,Toolroom Trax,5
Label,Rose Avenue,3
Label,Lost Miracle,2
Label,THRIVE MUSIC,7
Label,STEREOHYPE,3
Label,Parlophone France,2
Label,Filth on Acid,9
Label,Jungle Cakes,3
Label,Elevate Records (UK),3
Label,Enormous Tunes,2
Label,Amsterdam Trance Records (RazNitzanMusic),1
Label,Mad Decent,1
Label,Cocoon Recordings,1
Label,RAM Records,6
Label,Onyx Recordings,1
Label,Future Classic,1
Label,PIV,3
Label,FSOE,4
Label,TRYBESof,2
Label,Fe Chrome,5
Label,DIRTYBIRD,2
Label,Lost & Found,4
Label,DOT Dance,1
Label,Low:Res,1
Label,Beat Factory,1
Label,Whore House,1
Label,Cr2 Records,11
Label,STMPD RCRDS,1
Label,Central Station Records,1
Label,Resonance Records,1
Label,Footwork,2
Label,Deepwibe Underground,1
Label,Eleatics Records,1
Label,Selador,1
Label,Insomniac Records,7
Label,Nitron Music,7
Label,Atlantic Records UK,14
Label,You Plus One,2
Label,Hot Creations,7
Label,Monday Social Music,2
Label,BassLayerz Recordings,1
