Type,Name,Count
Label,SPINNIN' RECORDS,507
Label,Drumcode,341
Label,Defected,305
Label,Toolroom,297
Label,Hot Creations,169
Label,Suara,167
Label,Enormous Tunes,162
Label,SPINNIN' DEEP,162
Label,Revealed Recordings (back catalog),157
Label,Musical Freedom,156
Label,Ultra,155
Label,PornoStar Records,121
Label,Relief,111
Label,Diynamic,110
Label,Glasgow Underground,96
Label,Afterlife Records,95
Label,Crosstown Rebels,93
Label,DOORN RECORDS,92
Label,Repopulate Mars,91
Label,DIRTYBIRD,89
Label,Anjunadeep,77
Label,Stil Vor Talent,77
Label,Innervisions,73
Label,Filth on Acid,69
Label,Cr2 Records,68
Label,Noir Music,67
Label,Keinemusik,61
Label,Tactical Records,61
Label,Terminal M,60
Label,Anjunabeats,59
Label,Catch & Release,59
Label,DFTD,59
Label,Sola,59
Label,Snatch! Records,57
Label,1605,56
Label,Black Book Records,55
Label,Armind (Armada),54
Label,Protocol Recordings,53
Label,Club Sweat,50
Label,Kittball,49
Label,Ministry of Sound Recordings,48
Label,Prison Entertainment,48
Label,Truesoul,48
Label,Atlantic Records UK,46
Label,Axtone Records,46
Label,Columbia (Sony),45
Label,Exploited,45
Label,SOLOTOKO,45
Label,8Bit,44
Label,Knee Deep In Sound,44
